Collision Pairs (after SRDF filtering):
Pair 381: lewis_fr3_link2_0 <-> lewis_fr3_link5_9
Pair 382: lewis_fr3_link2_0 <-> lewis_fr3_link5_10
Pair 383: lewis_fr3_link2_0 <-> lewis_fr3_link5_11
Pair 384: lewis_fr3_link2_0 <-> lewis_fr3_link6_0
Pair 385: lewis_fr3_link2_0 <-> lewis_fr3_link6_1
Pair 386: lewis_fr3_link2_0 <-> lewis_fr3_link6_2
Pair 387: lewis_fr3_link2_0 <-> lewis_fr3_link7_0
Pair 388: lewis_fr3_link2_0 <-> lewis_fr3_link7_1
Pair 389: lewis_fr3_link2_0 <-> lewis_fr3_link7_2
Pair 390: lewis_fr3_link2_0 <-> lewis_fr3_link7_3
Pair 391: lewis_fr3_link2_0 <-> lewis_fr3_link7_4
Pair 392: lewis_fr3_link2_0 <-> richard_fr3_link0_0
Pair 393: lewis_fr3_link2_0 <-> richard_fr3_link1_0
Pair 394: lewis_fr3_link2_0 <-> richard_fr3_link1_1
Pair 395: lewis_fr3_link2_0 <-> richard_fr3_link1_2
Pair 396: lewis_fr3_link2_0 <-> richard_fr3_link1_3
Pair 397: lewis_fr3_link2_0 <-> richard_fr3_link2_0
Pair 398: lewis_fr3_link2_0 <-> richard_fr3_link2_1
Pair 399: lewis_fr3_link2_0 <-> richard_fr3_link2_2
Pair 400: lewis_fr3_link2_0 <-> richard_fr3_link2_3
Pair 401: lewis_fr3_link2_0 <-> richard_fr3_link3_0
Pair 402: lewis_fr3_link2_0 <-> richard_fr3_link3_1
Pair 403: lewis_fr3_link2_0 <-> richard_fr3_link3_2
Pair 404: lewis_fr3_link2_0 <-> richard_fr3_link3_3
Pair 405: lewis_fr3_link2_0 <-> richard_fr3_link4_0
Pair 406: lewis_fr3_link2_0 <-> richard_fr3_link4_1
Pair 407: lewis_fr3_link2_0 <-> richard_fr3_link4_2
Pair 408: lewis_fr3_link2_0 <-> richard_fr3_link4_3
Pair 409: lewis_fr3_link2_0 <-> richard_fr3_link5_0
Pair 410: lewis_fr3_link2_0 <-> richard_fr3_link5_1
Pair 411: lewis_fr3_link2_0 <-> richard_fr3_link5_2
Pair 412: lewis_fr3_link2_0 <-> richard_fr3_link5_3
Pair 413: lewis_fr3_link2_0 <-> richard_fr3_link5_4
Pair 414: lewis_fr3_link2_0 <-> richard_fr3_link5_5
Pair 415: lewis_fr3_link2_0 <-> richard_fr3_link5_6
